"","ROI","pval","coef","adj_p","sign"
"1","lh_bankssts_thickness",0.636209819904241,-0.0533700996973455,1,"Non-signif"
"2","lh_caudalanteriorcingulate_thickness",0.484876055848733,-0.086072685919598,1,"Non-signif"
"3","lh_caudalmiddlefrontal_thickness",0.545584908533377,0.0469651897842819,1,"Non-signif"
"4","lh_cuneus_thickness",0.668662965955908,-0.0496815117365314,1,"Non-signif"
"5","lh_entorhinal_thickness",0.0236988959163406,0.242624104760798,1,"Non-signif"
"6","lh_fusiform_thickness",0.642974527864336,-0.0406473277808846,1,"Non-signif"
"7","lh_inferiorparietal_thickness",0.387691475861282,-0.0780994151962612,1,"Non-signif"
"8","lh_inferiortemporal_thickness",0.631180546985452,-0.0418713314152908,1,"Non-signif"
"9","lh_isthmuscingulate_thickness",0.048859230959683,-0.224504390685724,1,"Non-signif"
"10","lh_lateraloccipital_thickness",0.624780912166529,-0.0428995669235834,1,"Non-signif"
"11","lh_lateralorbitofrontal_thickness",0.353423473263613,0.0815157545047432,1,"Non-signif"
"12","lh_lingual_thickness",0.104723385528637,-0.156381814333527,1,"Non-signif"
"13","lh_medialorbitofrontal_thickness",0.836524151341876,0.0238758804349895,1,"Non-signif"
"14","lh_middletemporal_thickness",0.00243581669115522,-0.272615490934849,0.165635534998555,"Non-signif"
"15","lh_parahippocampal_thickness",0.0416550460711172,0.272340354187742,1,"Non-signif"
"16","lh_paracentral_thickness",0.296237450469285,0.102998393099836,1,"Non-signif"
"17","lh_parsopercularis_thickness",0.662149646575389,-0.0426100182396393,1,"Non-signif"
"18","lh_parsorbitalis_thickness",0.55893338413311,0.0687506169663917,1,"Non-signif"
"19","lh_parstriangularis_thickness",0.573077752949319,0.0499086289091027,1,"Non-signif"
"20","lh_pericalcarine_thickness",0.9380442996632,0.00997467586823216,1,"Non-signif"
"21","lh_postcentral_thickness",0.236897386390076,-0.116151734222357,1,"Non-signif"
"22","lh_posteriorcingulate_thickness",0.979141633185697,0.00310209539635825,1,"Non-signif"
"23","lh_precentral_thickness",0.0508309458073551,0.174549105503073,1,"Non-signif"
"24","lh_precuneus_thickness",0.941209320454355,0.00610508709081113,1,"Non-signif"
"25","lh_rostralanteriorcingulate_thickness",0.67171815360602,-0.0468940789014859,1,"Non-signif"
"26","lh_rostralmiddlefrontal_thickness",0.674345703523033,0.0328993374690672,1,"Non-signif"
"27","lh_superiorfrontal_thickness",0.676428529798039,0.0291042410429761,1,"Non-signif"
"28","lh_superiorparietal_thickness",0.109701295165599,0.116704059178013,1,"Non-signif"
"29","lh_superiortemporal_thickness",0.0931958421170005,0.162133728389983,1,"Non-signif"
"30","lh_supramarginal_thickness",0.0534990427361877,-0.161839794592448,1,"Non-signif"
"31","lh_frontalpole_thickness",0.686669384472748,0.0583131818832698,1,"Non-signif"
"32","lh_temporalpole_thickness",0.000447240765900198,0.375396452592684,0.0304123720812134,"adj-p < 0.05"
"33","lh_transversetemporal_thickness",0.30817441003891,-0.130735302229957,1,"Non-signif"
"34","lh_insula_thickness",0.655988877289968,-0.0457433402587625,1,"Non-signif"
"35","rh_bankssts_thickness",0.646612369026933,0.0560012922946966,1,"Non-signif"
"36","rh_caudalanteriorcingulate_thickness",0.0448461608350339,-0.261414644799788,1,"Non-signif"
