"","ROI","pval","coef","adj_p","sign"
"1","Left_Accumbens_area",0.728422490526852,-0.0295191215523338,1,"Non-signif"
"2","Left_Amygdala",0.0651019878422672,0.2062083683015,1,"Non-signif"
"3","Left_Caudate",0.875655137492973,0.0161296126801434,1,"Non-signif"
"4","Left_Hippocampus",0.688427285497804,0.0400581372391589,1,"Non-signif"
"5","Left_Pallidum",0.4950361793282,0.0598045014097153,1,"Non-signif"
"6","Left_Putamen",0.167968714553565,0.126662893308509,1,"Non-signif"
"7","Left_Thalamus",0.889620650298603,0.0114633865106894,1,"Non-signif"
"8","Left_Lateral_Ventricle",0.737841199570475,0.0344150010957472,1,"Non-signif"
"9","Right_Accumbens_area",0.264049560285164,-0.0985377317900374,1,"Non-signif"
"10","Right_Amygdala",0.0263918973640403,0.230910245901936,0.422270357824645,"Non-signif"
"11","Right_Caudate",0.983154071370963,0.00204798602867559,1,"Non-signif"
"12","Right_Hippocampus",0.171159761016432,0.150031797917793,1,"Non-signif"
"13","Right_Pallidum",0.654120074516056,0.0392595449873651,1,"Non-signif"
"14","Right_Putamen",0.0855436141143428,0.157404173887423,1,"Non-signif"
"15","Right_Thalamus",0.567419344233797,0.0511677142230589,1,"Non-signif"
"16","Right_Lateral_Ventricle",0.628958522379866,0.0527469257305628,1,"Non-signif"
