"","ROI","pval","coef","adj_p","sign"
"1","lh_bankssts_thickness",0.00268845070420356,-0.542098718845875,0.182814647885842,"Non-signif"
"2","lh_caudalanteriorcingulate_thickness",0.159201371050289,-0.228480744527326,1,"Non-signif"
"3","lh_caudalmiddlefrontal_thickness",0.0398970343692916,-0.30705795566267,1,"Non-signif"
"4","lh_cuneus_thickness",0.00701270898884771,-0.46941271845664,0.476864211241644,"Non-signif"
"5","lh_entorhinal_thickness",0.009236205997014,0.361138775928932,0.628062007796952,"Non-signif"
"6","lh_fusiform_thickness",0.00106132537100051,-0.477139812679174,0.0721701252280344,"Non-signif"
"7","lh_inferiorparietal_thickness",1.66741567672594e-06,-0.841818398121747,0.000113384266017364,"adj-p < 0.05"
"8","lh_inferiortemporal_thickness",0.0245111004937635,-0.333965986591997,1,"Non-signif"
"9","lh_isthmuscingulate_thickness",0.00256717311173896,-0.529397266054825,0.17456777159825,"Non-signif"
"10","lh_lateraloccipital_thickness",1.23947302662416e-05,-0.833301829927832,0.000842841658104426,"adj-p < 0.05"
"11","lh_lateralorbitofrontal_thickness",0.997180779711614,0.000615284135910187,1,"Non-signif"
"12","lh_lingual_thickness",5.04551982269593e-06,-0.747733559330985,0.000343095347943323,"adj-p < 0.05"
"13","lh_medialorbitofrontal_thickness",0.33423624695769,-0.155482771892889,1,"Non-signif"
"14","lh_middletemporal_thickness",0.0114599541771421,-0.427245739900184,0.779276884045663,"Non-signif"
"15","lh_parahippocampal_thickness",0.933506475922303,0.013869842896049,1,"Non-signif"
"16","lh_paracentral_thickness",1.82625099017302e-05,-0.746782216831078,0.00124185067331765,"adj-p < 0.05"
"17","lh_parsopercularis_thickness",0.128448323512194,-0.248183829740765,1,"Non-signif"
"18","lh_parsorbitalis_thickness",0.117557348341119,-0.271480727177969,1,"Non-signif"
"19","lh_parstriangularis_thickness",0.0135030117278717,-0.387268778810744,0.918204797495278,"Non-signif"
"20","lh_pericalcarine_thickness",0.0196894669940956,-0.347624072340319,1,"Non-signif"
"21","lh_postcentral_thickness",3.52202494257604e-05,-0.740212881255928,0.0023949769609517,"adj-p < 0.05"
"22","lh_posteriorcingulate_thickness",0.0174107588429911,-0.398034497212651,1,"Non-signif"
"23","lh_precentral_thickness",0.314032976878846,-0.183089149612594,1,"Non-signif"
"24","lh_precuneus_thickness",9.22095958588238e-07,-0.91239120852748,6.27025251840002e-05,"adj-p < 0.05"
"25","lh_rostralanteriorcingulate_thickness",0.981715266463399,-0.00352597813570893,1,"Non-signif"
"26","lh_rostralmiddlefrontal_thickness",0.0147981680383669,-0.366038631786632,1,"Non-signif"
"27","lh_superiorfrontal_thickness",0.00834020695945683,-0.413182483574824,0.567134073243064,"Non-signif"
"28","lh_superiorparietal_thickness",9.09042874876676e-08,-0.839894883800693,6.1814915491614e-06,"adj-p < 0.05"
"29","lh_superiortemporal_thickness",0.021392063358143,-0.402181593756054,1,"Non-signif"
"30","lh_supramarginal_thickness",8.49512827334992e-06,-0.811766022592202,0.000577668722587795,"adj-p < 0.05"
"31","lh_frontalpole_thickness",0.00717090220406199,-0.476454982013016,0.487621349876215,"Non-signif"
"32","lh_temporalpole_thickness",0.0855265616405219,0.231650855629146,1,"Non-signif"
"33","lh_transversetemporal_thickness",4.65246046928442e-05,-0.734193963158047,0.00316367311911341,"adj-p < 0.05"
"34","lh_insula_thickness",0.13517714698372,-0.249941483287718,1,"Non-signif"
"35","rh_bankssts_thickness",0.0157280364863125,-0.455199230838097,1,"Non-signif"
"36","rh_caudalanteriorcingulate_thickness",0.316376746797332,-0.177570557545386,1,"Non-signif"
"37","rh_caudalmiddlefrontal_thickness",0.192033323773158,-0.189411419581338,1,"Non-signif"
"38","rh_cuneus_thickness",0.000442096671484102,-0.61607552989098,0.0300625736609189,"adj-p < 0.05"
"39","rh_entorhinal_thickness",0.41397698979165,0.102011881062751,1,"Non-signif"
"40","rh_fusiform_thickness",0.000271164262676148,-0.534810600324996,0.0184391698619781,"adj-p < 0.05"
"41","rh_inferiorparietal_thickness",2.37650090724025e-05,-0.712737986797142,0.00161602061692337,"adj-p < 0.05"
"42","rh_inferiortemporal_thickness",0.0119475421768153,-0.377678735345375,0.812432868023437,"Non-signif"
"43","rh_isthmuscingulate_thickness",2.56319891028904e-06,-0.784067017012825,0.000174297525899655,"adj-p < 0.05"
"44","rh_lateraloccipital_thickness",8.54728799972409e-05,-0.723133696079903,0.00581215583981238,"adj-p < 0.05"
"45","rh_lateralorbitofrontal_thickness",0.819337936259086,-0.0368439889919827,1,"Non-signif"
"46","rh_lingual_thickness",8.62162245318566e-06,-0.66252403487687,0.000586270326816625,"adj-p < 0.05"
"47","rh_medialorbitofrontal_thickness",0.367524136764477,-0.143713955469044,1,"Non-signif"
"48","rh_middletemporal_thickness",0.0172872399641877,-0.379938027290303,1,"Non-signif"
"49","rh_parahippocampal_thickness",0.247120332401703,-0.183030755923258,1,"Non-signif"
"50","rh_paracentral_thickness",0.000649182065568608,-0.609222446226813,0.0441443804586653,"adj-p < 0.05"
"51","rh_parsopercularis_thickness",0.0656752062222406,-0.333001661265018,1,"Non-signif"
"52","rh_parsorbitalis_thickness",0.00887631465383094,-0.475316109739085,0.603589396460504,"Non-signif"
"53","rh_parstriangularis_thickness",0.0361018663490388,-0.378771429087261,1,"Non-signif"
"54","rh_pericalcarine_thickness",0.00286081534707863,-0.407068267744171,0.194535443601347,"Non-signif"
"55","rh_postcentral_thickness",7.58822395521629e-06,-0.770180502247259,0.000515999228954708,"adj-p < 0.05"
