"","ROI","pval","coef","adj_p"
"1","Left_Lateral_Ventricle",0.0888731261781186,0.435184499226409,1
"2","Left_Inf_Lat_Vent",0.693081244603323,0.105355357073307,1
"3","Left_Cerebellum_White_Matter",0.328097089156213,-0.214525137296103,1
"4","Left_Cerebellum_Cortex",0.350886835110469,0.208236679374229,1
"5","Left_Thalamus",0.0134198934310966,-0.469557581295771,0.442856483226186
"6","Left_Caudate",0.452154091966918,-0.177331793731535,1
"7","Left_Putamen",0.0464016371454114,-0.468114333887069,1
"8","Left_Pallidum",0.0550287197178076,-0.433667487232226,1
"9","third_Ventricle",0.00531900269211292,0.666172368825434,0.175527088839726
"10","fourth_Ventricle",0.0984290918749508,0.426748043592307,1
"11","Brain_Stem",0.227523468120396,-0.227889123359557,1
"12","Left_Hippocampus",0.843897862316278,-0.0451255279609493,1
"13","Left_Amygdala",0.259166477081565,-0.268449921239157,1
"14","CSF",0.000114630379937431,0.951542491547952,0.00378280253793522
"15","Left_Accumbens_area",0.217748993420767,-0.264044593231818,1
"16","Left_VentralDC",0.142851801102557,-0.300930863875472,1
"17","Left_vessel",0.21794608455941,-0.321369180432468,1
"18","Left_choroid_plexus",0.0949077016830362,0.410671426526712,1
"19","Right_Lateral_Ventricle",0.399935531158129,0.216858783244816,1
"20","Right_Inf_Lat_Vent",0.360271919164631,0.239482827931967,1
"21","Right_Cerebellum_White_Matter",0.371979778486913,-0.201003397365895,1
"22","Right_Cerebellum_Cortex",0.571794637853056,0.121115198121435,1
"23","Right_Thalamus",0.0179825918572591,-0.549630564271721,0.593425531289552
"24","Right_Caudate",0.454688231980268,-0.172388863431075,1
"25","Right_Putamen",0.146757324657809,-0.33832495351526,1
"26","Right_Pallidum",0.0171121721371952,-0.511333624796123,0.564701680527442
"27","Right_Hippocampus",0.923251705486644,0.0215422898252858,1
"28","Right_Amygdala",0.685701979580547,-0.0919374476671062,1
"29","Right_Accumbens_area",0.313157385283784,-0.226857747780499,1
"30","Right_VentralDC",0.0802114950520565,-0.362479346932513,1
"31","Right_vessel",0.495774515677651,0.18024206560523,1
"32","Right_choroid_plexus",0.00698899125239898,0.613277010989636,0.230636711329166
"33","fifth_Ventricle",0.377192487327667,-0.228922280508257,1
