"","ROI","pval","coef","adj_p","sign"
"1","Left_Accumbens_area",0.0818763367403232,-0.221002597584101,1,"Non-signif"
"2","Left_Amygdala",0.0346008351279904,-0.375503743139167,0.553613362047846,"Non-signif"
"3","Left_Caudate",0.135186417127133,0.212044190062733,1,"Non-signif"
"4","Left_Hippocampus",0.581188333632415,-0.077586022289397,1,"Non-signif"
"5","Left_Pallidum",0.0744538310050633,-0.243465112752937,1,"Non-signif"
"6","Left_Putamen",0.854442872345623,-0.0265261139370257,1,"Non-signif"
"7","Left_Thalamus",0.000752841257705733,-0.395976466340953,0.0120454601232917,"adj-p < 0.05"
"8","Left_Lateral_Ventricle",0.00490335423016435,0.521697476555684,0.0784536676826297,"Non-signif"
"9","Right_Accumbens_area",0.28702137701532,-0.1397846077926,1,"Non-signif"
"10","Right_Amygdala",0.35764827234717,-0.141637811666713,1,"Non-signif"
"11","Right_Caudate",0.115988127890248,0.2139816001668,1,"Non-signif"
"12","Right_Hippocampus",0.438236744202798,-0.109669132671394,1,"Non-signif"
"13","Right_Pallidum",0.0466436603091736,-0.265885036333805,0.746298564946778,"Non-signif"
"14","Right_Putamen",0.740455550122806,-0.0467283979481826,1,"Non-signif"
"15","Right_Thalamus",0.00733897267399704,-0.361836332458977,0.117423562783953,"Non-signif"
"16","Right_Lateral_Ventricle",0.00738880040928094,0.538125841947481,0.118220806548495,"Non-signif"
